#Deviation,5.439,,,,,
#DeviationSub,6.719,,,,,
#Quality,Match,Sub,Ins,Del,TrueQuality,TrueQualitySub
0,0,0,0,0,,
1,0,0,0,0,,
2,639120,179516,126510,75480,4.27,7.55
3,5104678,1135060,653962,474136,5.13,8.12
4,12802196,2197018,1252792,939077,5.93,8.93
5,19758632,2631074,1519140,1148200,6.75,9.79
6,25548626,2624822,1516758,1156910,7.65,10.7
7,29601218,2459674,1393120,1062556,8.46,11.47
8,28582890,1971234,1139250,878851,9.12,12.18
9,27069964,1481312,888218,711890,9.91,13.09
10,25891676,1110576,686560,584637,10.74,14.06
11,25161976,842816,542886,488812,11.59,15.06
12,24830730,654480,439332,421704,12.4,16.05
13,24752612,512924,360972,367361,13.21,17.05
14,24932750,408156,303390,324724,13.99,18.04
15,25334296,324180,259888,292575,14.76,19.08
16,25922088,262370,224008,265789,15.5,20.07
17,26699152,211010,198878,244532,16.21,21.13
18,27643884,170966,175630,227536,16.92,22.18
19,28820210,139354,159450,214298,17.57,23.23
20,30152468,113668,146572,201660,18.21,24.3
21,31762270,92232,137526,191921,18.83,25.43
22,33648152,75184,127750,184987,19.43,26.56
23,35898852,61794,121522,177414,20.02,27.68
24,38664676,50020,116384,171913,20.62,28.92
25,41979658,40702,111078,166341,21.24,30.17
26,45883314,32988,107580,161176,21.85,31.46
27,50361494,26318,104308,156090,22.47,32.84
28,55132108,20890,99854,147857,23.14,34.24
29,59845090,16544,93934,139657,23.81,35.6
30,63854046,13090,87554,129075,24.46,36.9
31,66659302,10076,79028,115887,25.13,38.22
32,68149180,7684,69552,101361,25.83,39.49
33,68261848,5662,59586,85364,26.57,40.82
34,67343872,4544,50060,70353,27.32,41.72
35,65401890,3238,39366,55452,28.25,43.06
36,62511928,2362,30556,41770,29.23,44.23
37,57458598,1702,21684,30066,30.32,45.29
38,50163736,1222,18368,20629,30.96,46.14
39,41683448,808,12688,14429,31.74,47.13
40,33097130,576,8344,9471,32.55,47.6
41,24859304,426,5464,6300,33.1,47.66
42,17926430,298,3758,4110,33.42,47.79
43,13251920,220,2586,2736,33.79,47.8
44,9578766,168,1740,2017,33.88,47.56
45,6710598,102,1248,1338,33.98,48.18
46,4758146,82,826,1020,33.93,47.64
47,3525210,66,582,744,34.04,47.28
48,2586876,36,398,505,34.4,48.57
49,1995188,20,314,388,34.42,49.99
50,1399408,40,178,289,34.41,45.44
51,1114106,16,188,231,34.09,48.43
52,847466,6,124,171,34.5,51.5
53,644480,10,88,126,34.59,48.09
54,458160,14,58,92,34.46,45.15
55,422276,8,56,84,34.55,47.23
56,262948,2,44,43,34.71,51.19
57,204004,4,20,41,34.97,47.08
58,211172,6,22,48,34.44,45.47
59,126762,0,18,26,34.6,60
60,113844,2,18,30,33.58,47.55
61,66222,0,12,15,33.9,60
62,46080,0,4,8,35.84,60
63,58928,4,4,11,34.92,41.68
64,16834,0,2,7,32.72,60
65,47234,0,6,7,35.6,60
66,15108,0,4,1,34.8,60
67,2758,0,0,0,60,60
68,39490,0,6,9,34.21,60
69,112,0,0,0,60,60
70,0,0,0,0,,
71,12324,0,0,0,60,60
72,6,0,16,0,1.38,60
73,16,6,48,0,1.13,10.67
74,6,2,32,0,0.71,13.01
75,20,2,68,0,1.09,16.53
76,0,0,0,0,,
77,0,0,0,0,,
78,2,0,0,0,60,60
79,0,0,0,0,,
80,0,0,0,0,,
81,0,0,0,0,,
82,20,2,66,0,1.12,16.43
83,0,0,0,0,,
84,0,0,0,0,,
85,0,0,0,0,,
86,0,0,0,0,,
87,0,0,0,0,,
88,4,0,4,0,3.01,60
89,0,0,0,0,,
90,26421500,3642,85814,10410,24.24,38.62
