#Deviation,7.101,,,,,
#DeviationSub,6.203,,,,,
#Quality,Match,Sub,Ins,Del,TrueQuality,TrueQualitySub
0,0,0,0,0,,
1,0,0,0,0,,
2,118268,32126,18974,14622,4.47,7.58
3,902780,201934,104812,88664,5.16,8.08
4,2102392,371532,196666,167201,5.86,8.83
5,3108942,434458,231536,199852,6.62,9.61
6,3921090,426092,230854,199306,7.47,10.5
7,4459272,396444,213744,183856,8.21,11.22
8,4270938,319626,176506,153290,8.79,11.87
9,3999064,246810,137674,124499,9.47,12.62
10,3779028,190752,106198,102692,10.19,13.41
11,3639674,150138,84596,86001,10.92,14.21
12,3556662,121610,68346,73708,11.61,14.97
13,3516510,100718,56446,64882,12.26,15.7
14,3507730,85378,47432,57344,12.89,16.37
15,3536204,73720,40498,51879,13.48,17.01
16,3585468,64920,35270,47906,14.02,17.6
17,3669250,57904,30558,44170,14.57,18.17
18,3768648,53204,27574,41226,15.04,18.64
19,3894790,49710,25034,39136,15.47,19.07
20,4051372,46410,22706,37657,15.9,19.52
21,4236930,44074,21468,35545,16.33,19.93
22,4462022,43150,20400,34342,16.68,20.24
23,4740662,43008,19400,33143,17.04,20.51
24,5094982,43028,18020,32588,17.44,20.81
25,5561104,42894,17328,32064,17.87,21.2
26,6154842,44032,16712,30928,18.33,21.52
27,6886218,44886,16096,29720,18.86,21.92
28,7577858,46184,14930,28236,19.34,22.2
29,8050892,48054,13818,25818,19.68,22.29
30,8096056,47940,11892,21945,20,22.32
31,7672884,47542,9856,18027,20.12,22.12
32,6939572,45800,7916,13834,20.16,21.85
33,6033610,43278,6100,10319,20.09,21.49
34,5107336,39190,4724,7282,20.03,21.19
35,4217562,34432,3440,4860,19.99,20.92
36,3390756,28844,2470,3259,19.96,20.75
37,2623250,23012,1666,2146,19.95,20.61
38,1965340,17508,1774,1347,19.83,20.55
39,1423008,12486,1216,865,19.94,20.61
40,1001808,8944,774,507,19.96,20.54
41,682980,6330,504,314,19.85,20.38
42,457260,4096,338,198,19.99,20.52
43,316304,2670,262,146,20.16,20.78
44,217342,1864,198,71,20.12,20.71
45,147946,1282,132,54,20.08,20.67
46,102612,846,88,36,20.29,20.88
47,74292,700,58,20,19.84,20.3
48,52544,452,42,20,20.14,20.7
49,41810,388,26,16,19.92,20.37
50,29324,246,14,6,20.46,20.8
51,22158,166,18,5,20.73,21.29
52,17188,122,14,9,20.78,21.53
53,13628,118,4,3,20.41,20.67
54,9052,90,2,2,19.88,20.07
55,8656,76,4,1,20.33,20.61
56,5308,38,2,3,20.95,21.49
57,4024,38,4,1,19.76,20.29
58,3992,44,2,0,19.43,19.63
59,2726,20,4,0,20.59,21.38
60,2272,26,0,1,19.3,19.47
61,1320,8,0,0,22.2,22.2
62,920,14,2,0,17.67,18.25
63,1190,16,0,1,18.51,18.78
64,432,4,4,0,17.4,20.41
65,962,16,0,0,17.86,17.86
66,292,4,0,0,18.69,18.69
67,58,2,0,0,14.77,14.77
68,860,2,0,1,24.59,26.35
69,2,0,0,0,60,60
70,0,0,0,0,,
71,286,12,0,0,13.95,13.95
72,0,0,12,0,0,60
73,0,0,18,0,0,60
74,4,0,2,0,4.77,60
75,8,0,4,1,4.15,60
76,0,0,0,0,,
77,0,0,0,0,,
78,0,0,0,0,,
79,0,0,0,0,,
80,0,0,0,0,,
81,0,0,0,0,,
82,4,2,22,0,0.67,11.46
83,0,0,0,0,,
84,0,0,0,0,,
85,0,0,0,0,,
86,0,0,0,0,,
87,0,0,0,0,,
88,0,0,0,0,,
89,0,0,0,0,,
90,556478,4526,22400,533,13.28,21.11
