#Deviation	3.680
#DeviationSub	5.817
#Quality	Match	Sub	Ins	Del	TrueQuality	TrueQualitySub
0	0	0	0	0		
1	0	0	0	0		
2	25412	6970	3896	3072	4.51	7.52
3	191750	42336	21526	19025	5.20	8.12
4	433800	74082	40126	33907	5.94	8.95
5	633202	83656	46476	39927	6.74	9.82
6	800112	80264	46232	40290	7.63	10.81
7	911328	73874	43046	36573	8.41	11.59
8	872056	57796	35532	30505	9.05	12.36
9	820948	43516	27836	24877	9.79	13.24
10	778482	32526	21688	20274	10.59	14.19
11	751244	24410	17180	17068	11.40	15.21
12	741686	19276	13574	14953	12.18	16.12
13	735726	14710	11004	13096	13.00	17.21
14	738652	11946	9482	11518	13.70	18.10
15	749436	9376	8198	10310	14.45	19.19
16	760716	7674	6978	9593	15.10	20.10
17	783468	6110	6284	9025	15.75	21.20
18	815266	5032	5610	8296	16.44	22.20
19	851396	4112	4984	7789	17.11	23.25
20	900360	3368	4620	7483	17.72	24.34
21	961602	2724	4298	7513	18.27	25.54
22	1035368	2334	4112	7341	18.81	26.53
23	1138678	1728	3844	7194	19.55	28.24
24	1273488	1396	3932	7124	20.14	29.64
25	1451864	1092	3600	7042	20.96	31.27
26	1669036	870	3658	6887	21.68	32.86
27	1903770	728	3602	6487	22.48	34.20
28	2070066	502	3180	5993	23.32	36.17
29	2088212	370	2604	5280	24.05	37.53
30	1932276	334	2160	4130	24.66	37.64
31	1648124	200	1780	2926	25.28	39.17
32	1310546	158	1184	2046	25.89	39.20
33	990530	104	814	1271	26.57	39.80
34	721698	72	738	859	26.37	40.02
35	514304	56	460	503	27.04	39.64
36	363884	58	430	310	26.60	37.98
37	251674	34	152	189	28.27	38.70
38	173480	20	248	110	26.63	39.39
39	117576	20	212	72	25.89	37.70
40	78674	8	140	38	26.27	39.94
41	53004	8	100	26	25.98	38.22
42	34874	2	72	15	25.94	42.43
43	23692	10	36	10	26.27	33.76
44	16356	6	20	6	27.09	34.36
45	10838	4	18	2	26.56	34.34
46	7606	2	10	4	26.78	35.81
47	5592	0	6	3	27.94	60.00
48	3980	0	8	3	25.60	60.00
49	3080	0	2	0	31.88	60.00
50	2166	0	2	1	28.59	60.00
51	1582	0	0	3	27.23	60.00
52	1286	0	0	1	31.10	60.00
53	958	0	0	0	60.00	60.00
54	658	0	0	0	60.00	60.00
55	604	0	0	0	60.00	60.00
56	394	0	0	0	60.00	60.00
57	286	0	0	0	60.00	60.00
58	298	0	2	0	21.76	60.00
59	202	0	0	0	60.00	60.00
60	162	0	0	0	60.00	60.00
61	104	0	0	0	60.00	60.00
62	68	0	0	0	60.00	60.00
63	76	0	0	0	60.00	60.00
64	38	0	0	0	60.00	60.00
65	76	0	0	0	60.00	60.00
66	20	0	0	0	60.00	60.00
67	2	0	0	0	60.00	60.00
68	64	0	0	0	60.00	60.00
69	0	0	0	0		
70	0	0	0	0		
71	22	0	0	0	60.00	60.00
72	2	0	0	0	60.00	60.00
73	2	0	0	0	60.00	60.00
74	0	0	2	0	0.00	60.00
75	0	0	2	0	0.00	60.00
76	0	0	0	0		
77	0	0	0	0		
78	0	0	0	0		
79	0	0	0	0		
80	0	0	0	0		
81	0	0	0	0		
82	0	0	10	0	0.00	60.00
83	0	0	0	0		
84	0	0	0	0		
85	0	0	0	0		
86	0	0	0	0		
87	0	0	0	0		
88	0	0	0	0		
89	0	0	0	0		
90	56602	168	4140	118	11.40	25.60
