phred,TrueQuality,,TrueQualitySub
0,,0,
1,,1,
2,4.51,2,7.52
3,5.2,3,8.12
4,5.94,4,8.95
5,6.74,5,9.82
6,7.63,6,10.81
7,8.41,7,11.59
8,9.05,8,12.36
9,9.79,9,13.24
10,10.59,10,14.19
11,11.4,11,15.21
12,12.18,12,16.12
13,13,13,17.21
14,13.7,14,18.1
15,14.45,15,19.19
16,15.1,16,20.1
17,15.75,17,21.2
18,16.44,18,22.2
19,17.11,19,23.25
20,17.72,20,24.34
21,18.27,21,25.54
22,18.81,22,26.53
23,19.55,23,28.24
24,20.14,24,29.64
25,20.96,25,31.27
26,21.68,26,32.86
27,22.48,27,34.2
28,23.32,28,36.17
29,24.05,29,37.53
30,24.66,30,37.64
31,25.28,31,39.17
32,25.89,32,39.2
33,26.57,33,39.8
34,26.37,34,40.02
35,27.04,35,39.64
36,26.6,36,37.98
37,28.27,37,38.7
38,26.63,38,39.39
39,25.89,39,37.7
40,26.27,40,39.94
41,25.98,41,38.22
42,25.94,42,42.43
43,26.27,43,33.76
44,27.09,44,34.36
45,26.56,45,34.34
46,26.78,46,35.81
47,27.94,47,60
48,25.6,48,60
49,31.88,49,60
50,28.59,50,60
51,27.23,51,60
52,31.1,52,60
53,60,53,60
54,60,54,60
55,60,55,60
56,60,56,60
57,60,57,60
58,21.76,58,60
59,60,59,60
60,60,60,60
61,60,61,60
62,60,62,60
63,60,63,60
64,60,64,60
65,60,65,60
66,60,66,60
67,60,67,60
68,60,68,60
69,,69,
70,,70,
71,60,71,60
72,60,72,60
73,60,73,60
74,0,74,60
75,0,75,60
76,,76,
77,,77,
78,,78,
79,,79,
80,,80,
81,,81,
82,0,82,60
83,,83,
84,,84,
85,,85,
86,,86,
87,,87,
88,,88,
89,,89,
90,11.4,90,25.6
