from,to
1,4
2,4
3,5
4,6
5,7
6,7
7,8
8,9
9,10
10,10
11,11
12,12
13,13
14,14
15,14
16,15
17,16
18,17
19,17
20,18
21,19
22,20
23,20
24,21
25,22
26,22
27,23
28,24
29,24
30,25
31,26
32,26
33,27
34,27
35,28
36,28
37,28
38,28
39,28
40,28
41,28
42,28
43,29
44,29
45,29
46,29
47,29
48,29
49,29
50,29
51,29
52,29
53,29
54,29
55,29
56,29
57,29
58,29
59,29
60,29
61,29
62,29
63,29
64,29
65,29
66,29
67,29
68,29
69,29
70,29
71,29
72,29
73,29
74,29
75,29
76,29
77,29
78,29
79,29
80,29
81,29
82,29
83,29
84,29
85,29
86,29
87,29
88,29
89,29
90,29
