from,to
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,2
18,3
19,4
20,5
21,6
22,7
23,8
24,9
25,10
26,11
27,12
28,13
29,14
30,15
31,16
32,17
33,18
34,19
35,20
36,21
37,22
38,23
39,24
40,25
41,26
42,27
43,28
44,29
45,30
46,31
47,32
48,33
49,34
50,35
51,36
52,37
53,38
54,39
55,40
56,41
57,42
58,43
59,44
60,45
61,46
62,47
63,48
64,49
65,50
66,51
67,52
68,53
69,54
70,55
71,56
72,57
73,58
74,59
75,60
76,61
77,62
78,63
79,64
80,65
81,66
82,67
83,68
84,69
85,70
86,71
87,72
88,73
89,74
90,75
