from,to
0,4
1,5
2,5
3,6
4,6
5,7
6,8
7,8
8,9
9,9
10,10
11,11
12,11
13,12
14,12
15,13
16,13
17,14
18,14
19,15
20,15
21,16
22,16
23,17
24,17
25,18
26,18
27,18
28,19
29,19
30,19
31,20
32,20
33,20
34,20
35,21
36,21
37,21
38,21
39,21
40,21
41,21
42,21
43,21
44,21
45,21
46,21
47,21
48,21
49,21
50,21
51,21
52,21
53,21
54,20
55,20
56,20
57,20
58,20
59,19
60,19
61,19
62,18
63,18
64,18
65,17
66,17
67,16
68,16
69,16
70,15
71,15
72,14
73,14
74,13
75,13
76,12
77,12
78,11
79,11
80,10
81,10
82,9
83,9
84,8
85,8
86,7
87,7
88,6
89,6
90,6
