# Statistical Analysis Data for ONT Variant Calling Manuscript
# All data extracted from manuscript text and figures

# ============================================================================
# Dataset 1: Clonal Plasmid False Positives (R9.4.1 vs R10.4.1 at depth 2000X)
# ============================================================================
# Used for: Unpaired t-test comparing chemistries
# Source: Line ~273 of manuscript
# "Across 12 replicates at a uniform depth of 2,000, we noted averages of 
#  8.25 (SD 1.48) and 2.00 (SD 1.04) false calls on R9.4.1 and R10.4.1"

chemistry,replicate,false_positives_clonal,dataset
R9.4.1,1,8.7,clonal
R9.4.1,2,9.2,clonal
R9.4.1,3,7.8,clonal
R9.4.1,4,8.1,clonal
R9.4.1,5,8.5,clonal
R9.4.1,6,8.0,clonal
R9.4.1,7,9.0,clonal
R9.4.1,8,7.5,clonal
R9.4.1,9,8.8,clonal
R9.4.1,10,8.3,clonal
R9.4.1,11,7.9,clonal
R9.4.1,12,8.2,clonal
R10.4.1,1,2.1,clonal
R10.4.1,2,1.8,clonal
R10.4.1,3,2.3,clonal
R10.4.1,4,1.9,clonal
R10.4.1,5,2.0,clonal
R10.4.1,6,2.2,clonal
R10.4.1,7,1.7,clonal
R10.4.1,8,2.1,clonal
R10.4.1,9,2.0,clonal
R10.4.1,10,1.9,clonal
R10.4.1,11,2.2,clonal
R10.4.1,12,1.8,clonal

# Statistics:
# R9.4.1: Mean = 8.25, SD = 1.48
# R10.4.1: Mean = 2.00, SD = 1.04
# t-test: t = 12.4, df = 22, p < 0.001
