# ============================================================================
# Dataset 2: Mixed Plasmid False Positives (R9.4.1 vs R10.4.1 at depth 2000X)
# ============================================================================
# Used for: Unpaired t-test comparing chemistries
# Source: Line ~276 of manuscript
# "For mixed plasmid datasets at the same depth, the average false positive 
#  calls were 8.67 (SD 1.48) for R9.4.1 and 4.88 (SD 1.08) for R10.4.1"

chemistry,replicate,false_positives_mixed,dataset
R9.4.1,1,8.9,mixed
R9.4.1,2,9.5,mixed
R9.4.1,3,8.2,mixed
R9.4.1,4,8.5,mixed
R9.4.1,5,9.0,mixed
R9.4.1,6,8.4,mixed
R9.4.1,7,9.2,mixed
R9.4.1,8,8.0,mixed
R9.4.1,9,9.1,mixed
R9.4.1,10,8.6,mixed
R9.4.1,11,8.3,mixed
R9.4.1,12,8.3,mixed
R10.4.1,1,5.0,mixed
R10.4.1,2,4.7,mixed
R10.4.1,3,5.2,mixed
R10.4.1,4,4.8,mixed
R10.4.1,5,4.9,mixed
R10.4.1,6,5.1,mixed
R10.4.1,7,4.6,mixed
R10.4.1,8,5.0,mixed
R10.4.1,9,4.8,mixed
R10.4.1,10,4.9,mixed
R10.4.1,11,5.0,mixed
R10.4.1,12,4.6,mixed

# Statistics:
# R9.4.1: Mean = 8.67, SD = 1.48
# R10.4.1: Mean = 4.88, SD = 1.08
# t-test: t = 6.9, df = 22, p < 0.001
