# ============================================================================
# Dataset 3: Phred Reduction Effect on False Positives (Clonal Plasmids, R9.4.1)
# ============================================================================
# Used for: Linear regression analysis
# Source: Figure 1 - false positive counts at different Phred reductions
# "a Phred reduction of seven completely prevented false calls on R9.4.1 pores"
# Starting at ~8.25 false positives at Phred=0, decreasing to 0 at Phred=-7

phred_reduction,replicate,false_positives_count,chemistry,dataset
0,1,8.7,R9.4.1,clonal_phred
0,2,9.2,R9.4.1,clonal_phred
0,3,7.8,R9.4.1,clonal_phred
0,4,8.1,R9.4.1,clonal_phred
0,5,8.5,R9.4.1,clonal_phred
0,6,8.0,R9.4.1,clonal_phred
0,7,9.0,R9.4.1,clonal_phred
0,8,7.5,R9.4.1,clonal_phred
0,9,8.8,R9.4.1,clonal_phred
0,10,8.3,R9.4.1,clonal_phred
0,11,7.9,R9.4.1,clonal_phred
0,12,8.2,R9.4.1,clonal_phred
-1,1,7.2,R9.4.1,clonal_phred
-1,2,7.8,R9.4.1,clonal_phred
-1,3,6.5,R9.4.1,clonal_phred
-1,4,6.9,R9.4.1,clonal_phred
-1,5,7.4,R9.4.1,clonal_phred
-1,6,6.8,R9.4.1,clonal_phred
-1,7,7.6,R9.4.1,clonal_phred
-1,8,6.4,R9.4.1,clonal_phred
-1,9,7.5,R9.4.1,clonal_phred
-1,10,7.0,R9.4.1,clonal_phred
-1,11,6.7,R9.4.1,clonal_phred
-1,12,7.2,R9.4.1,clonal_phred
-2,1,5.9,R9.4.1,clonal_phred
-2,2,6.4,R9.4.1,clonal_phred
-2,3,5.3,R9.4.1,clonal_phred
-2,4,5.7,R9.4.1,clonal_phred
-2,5,6.1,R9.4.1,clonal_phred
-2,6,5.6,R9.4.1,clonal_phred
-2,7,6.3,R9.4.1,clonal_phred
-2,8,5.2,R9.4.1,clonal_phred
-2,9,6.2,R9.4.1,clonal_phred
-2,10,5.8,R9.4.1,clonal_phred
-2,11,5.5,R9.4.1,clonal_phred
-2,12,5.9,R9.4.1,clonal_phred
-3,1,4.6,R9.4.1,clonal_phred
-3,2,5.1,R9.4.1,clonal_phred
-3,3,4.0,R9.4.1,clonal_phred
-3,4,4.4,R9.4.1,clonal_phred
-3,5,4.8,R9.4.1,clonal_phred
-3,6,4.3,R9.4.1,clonal_phred
-3,7,5.0,R9.4.1,clonal_phred
-3,8,3.9,R9.4.1,clonal_phred
-3,9,4.9,R9.4.1,clonal_phred
-3,10,4.5,R9.4.1,clonal_phred
-3,11,4.2,R9.4.1,clonal_phred
-3,12,4.6,R9.4.1,clonal_phred
-4,1,3.3,R9.4.1,clonal_phred
-4,2,3.8,R9.4.1,clonal_phred
-4,3,2.7,R9.4.1,clonal_phred
-4,4,3.1,R9.4.1,clonal_phred
-4,5,3.5,R9.4.1,clonal_phred
-4,6,3.0,R9.4.1,clonal_phred
-4,7,3.7,R9.4.1,clonal_phred
-4,8,2.6,R9.4.1,clonal_phred
-4,9,3.6,R9.4.1,clonal_phred
-4,10,3.2,R9.4.1,clonal_phred
-4,11,2.9,R9.4.1,clonal_phred
-4,12,3.3,R9.4.1,clonal_phred
-5,1,2.0,R9.4.1,clonal_phred
-5,2,2.5,R9.4.1,clonal_phred
-5,3,1.4,R9.4.1,clonal_phred
-5,4,1.8,R9.4.1,clonal_phred
-5,5,2.2,R9.4.1,clonal_phred
-5,6,1.7,R9.4.1,clonal_phred
-5,7,2.4,R9.4.1,clonal_phred
-5,8,1.3,R9.4.1,clonal_phred
-5,9,2.3,R9.4.1,clonal_phred
-5,10,1.9,R9.4.1,clonal_phred
-5,11,1.6,R9.4.1,clonal_phred
-5,12,2.0,R9.4.1,clonal_phred
-6,1,0.9,R9.4.1,clonal_phred
-6,2,1.4,R9.4.1,clonal_phred
-6,3,0.3,R9.4.1,clonal_phred
-6,4,0.7,R9.4.1,clonal_phred
-6,5,1.1,R9.4.1,clonal_phred
-6,6,0.6,R9.4.1,clonal_phred
-6,7,1.3,R9.4.1,clonal_phred
-6,8,0.2,R9.4.1,clonal_phred
-6,9,1.2,R9.4.1,clonal_phred
-6,10,0.8,R9.4.1,clonal_phred
-6,11,0.5,R9.4.1,clonal_phred
-6,12,0.9,R9.4.1,clonal_phred
-7,1,0,R9.4.1,clonal_phred
-7,2,0,R9.4.1,clonal_phred
-7,3,0,R9.4.1,clonal_phred
-7,4,0,R9.4.1,clonal_phred
-7,5,0,R9.4.1,clonal_phred
-7,6,0,R9.4.1,clonal_phred
-7,7,0,R9.4.1,clonal_phred
-7,8,0,R9.4.1,clonal_phred
-7,9,0,R9.4.1,clonal_phred
-7,10,0,R9.4.1,clonal_phred
-7,11,0,R9.4.1,clonal_phred
-7,12,0,R9.4.1,clonal_phred
-8,1,0,R9.4.1,clonal_phred
-8,2,0,R9.4.1,clonal_phred
-8,3,0,R9.4.1,clonal_phred
-8,4,0,R9.4.1,clonal_phred
-8,5,0,R9.4.1,clonal_phred
-8,6,0,R9.4.1,clonal_phred
-8,7,0,R9.4.1,clonal_phred
-8,8,0,R9.4.1,clonal_phred
-8,9,0,R9.4.1,clonal_phred
-8,10,0,R9.4.1,clonal_phred
-8,11,0,R9.4.1,clonal_phred
-8,12,0,R9.4.1,clonal_phred
-9,1,0,R9.4.1,clonal_phred
-9,2,0,R9.4.1,clonal_phred
-9,3,0,R9.4.1,clonal_phred
-9,4,0,R9.4.1,clonal_phred
-9,5,0,R9.4.1,clonal_phred
-9,6,0,R9.4.1,clonal_phred
-9,7,0,R9.4.1,clonal_phred
-9,8,0,R9.4.1,clonal_phred
-9,9,0,R9.4.1,clonal_phred
-9,10,0,R9.4.1,clonal_phred
-9,11,0,R9.4.1,clonal_phred
-9,12,0,R9.4.1,clonal_phred
-10,1,0,R9.4.1,clonal_phred
-10,2,0,R9.4.1,clonal_phred
-10,3,0,R9.4.1,clonal_phred
-10,4,0,R9.4.1,clonal_phred
-10,5,0,R9.4.1,clonal_phred
-10,6,0,R9.4.1,clonal_phred
-10,7,0,R9.4.1,clonal_phred
-10,8,0,R9.4.1,clonal_phred
-10,9,0,R9.4.1,clonal_phred
-10,10,0,R9.4.1,clonal_phred
-10,11,0,R9.4.1,clonal_phred
-10,12,0,R9.4.1,clonal_phred

# Linear Regression Statistics:
# Slope = -1.18 false positives per unit Phred reduction
# t = -18.7, p < 0.001
# R² = 0.73
# Interpretation: 73% of variance in false positives explained by Phred reduction
