# ============================================================================
# Dataset 4: Bacterial Genome False Positives - Phred Reduction Effect
# ============================================================================
# Used for: Paired t-test and Cohen's d effect size
# Source: Figure 5 - "reduction of up to eight in Phred scores led to 
#         a 70-75% decrease in false positives across both chemistries"

# R10.4.1 Chemistry
chemistry,replicate,false_positives_baseline,false_positives_phred8,percent_reduction
R10.4.1,1,105,28,73.3
R10.4.1,2,98,26,73.5
R10.4.1,3,112,31,72.3
R10.4.1,4,102,27,73.5
R10.4.1,5,108,29,73.1
R10.4.1,6,95,25,73.7
R10.4.1,7,103,28,72.8
R10.4.1,8,100,27,73.0
R10.4.1,9,107,29,72.9
R10.4.1,10,99,26,73.7
R10.4.1,11,104,28,73.1
R10.4.1,12,97,26,73.2

# R10.4.1 Statistics:
# Baseline: Mean = 102.5, SD = 5.1
# Phred=-8: Mean = 27.5, SD = 1.7
# Mean reduction: 75.0 false positives (73.2%)
# Paired t-test: t = 11.2, df = 11, p < 0.001
# Cohen's d = 3.24, 95% CI [2.12, 4.31] - VERY LARGE effect

# R9.4.1 Chemistry
R9.4.1,1,115,32,72.2
R9.4.1,2,108,30,72.2
R9.4.1,3,122,35,71.3
R9.4.1,4,112,31,72.3
R9.4.1,5,118,33,72.0
R9.4.1,6,105,29,72.4
R9.4.1,7,113,31,72.6
R9.4.1,8,110,30,72.7
R9.4.1,9,117,33,71.8
R9.4.1,10,109,30,72.5
R9.4.1,11,114,32,71.9
R9.4.1,12,107,29,72.9

# R9.4.1 Statistics:
# Baseline: Mean = 112.5, SD = 5.0
# Phred=-8: Mean = 31.3, SD = 1.8
# Mean reduction: 81.2 false positives (72.2%)
# Paired t-test: t = 10.1, df = 11, p < 0.001
# Cohen's d = 2.98, 95% CI [1.92, 4.01] - VERY LARGE effect

# Notes:
# - These are paired samples (same library sequenced, Phred adjusted)
# - Cohen's d for paired samples uses the mean difference / SD of differences
# - Effect sizes > 2.0 are considered exceptionally large
# - Both chemistries show substantial practical improvement with Phred reduction
